,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
88,"FC = 0.98, SFT = 0.1",2017-03-15 19:00:00,2017-03-17 05:00:00,28365.35526,35,810.4387217,0.98,0.1,storm_89,0.393,0,0,0,0,0
89,"FC = 0.98, SFT = 0.1",2017-03-18 05:00:00,2017-03-21 01:00:00,249159.3817,69,3611.005532,0.98,0.1,storm_90,1.691,1,0,0,0,1
90,"FC = 0.98, SFT = 0.1",2017-03-21 16:00:00,2017-03-27 02:00:00,568232.4856,131,4337.652562,0.98,0.1,storm_91,4.603,1,0,1,0,1
91,"FC = 0.98, SFT = 0.1",2017-03-30 10:00:00,2017-04-01 22:00:00,121971.944,61,1999.540065,0.98,0.1,storm_92,0.969,1,0,0,0,0
92,"FC = 0.98, SFT = 0.1",2017-04-03 13:00:00,2017-04-05 11:00:00,34651.35081,47,737.2627831,0.98,0.1,storm_93,0.48,0,0,0,0,0
93,"FC = 0.98, SFT = 0.1",2017-04-09 19:00:00,2017-04-10 08:00:00,18001.73013,14,1285.837866,0.98,0.1,storm_94,0.352,0,0,0,0,0
94,"FC = 0.98, SFT = 0.1",2017-05-05 15:00:00,2017-05-07 02:00:00,55367.54546,36,1537.987374,0.98,0.1,storm_95,0.54,1,0,0,0,0
95,"FC = 0.98, SFT = 0.1",2017-05-19 23:00:00,2017-05-21 06:00:00,58553.07043,32,1829.783451,0.98,0.1,storm_96,0.758,1,0,0,0,0
96,"FC = 0.98, SFT = 0.1",2017-06-07 17:00:00,2017-06-09 01:00:00,34823.48368,33,1055.257081,0.98,0.1,storm_97,0.36,0,0,0,0,0
97,"FC = 0.98, SFT = 0.1",2017-06-10 02:00:00,2017-06-11 23:00:00,93354.8052,46,2029.452287,0.98,0.1,storm_98,0.991,1,0,0,0,0
98,"FC = 0.98, SFT = 0.1",2017-07-31 17:00:00,2017-08-01 04:00:00,10580.52697,12,881.7105806,0.98,0.1,storm_99,0.205,0,0,0,0,0
99,"FC = 0.98, SFT = 0.1",2017-08-03 21:00:00,2017-08-04 15:00:00,24337.29482,19,1280.910254,0.98,0.1,storm_100,0.188,0,0,0,0,0
100,"FC = 0.98, SFT = 0.1",2017-08-25 00:00:00,2017-08-25 12:00:00,13212.13144,13,1016.317803,0.98,0.1,storm_101,0.106,0,0,0,0,0
101,"FC = 0.98, SFT = 0.1",2017-10-20 09:00:00,2017-10-21 18:00:00,119773.5359,34,3522.751057,0.98,0.1,storm_102,1.252,1,0,0,0,1
102,"FC = 0.98, SFT = 0.1",2017-10-23 04:00:00,2017-10-23 18:00:00,11263.16018,15,750.8773452,0.98,0.1,storm_103,0.118,0,0,0,0,0
103,"FC = 0.98, SFT = 0.1",2017-10-26 23:00:00,2017-10-27 11:00:00,11914.42684,13,916.4943721,0.98,0.1,storm_104,0.081,0,0,0,0,0
104,"FC = 0.98, SFT = 0.1",2017-11-17 17:00:00,2017-11-18 07:00:00,12998.3341,15,866.5556066,0.98,0.1,storm_105,0.176,0,0,0,0,0
105,"FC = 0.98, SFT = 0.1",2017-11-18 18:00:00,2017-11-19 20:00:00,28513.38969,27,1056.05147,0.98,0.1,storm_106,0.272,0,0,0,0,0
106,"FC = 0.98, SFT = 0.1",2017-12-02 16:00:00,2017-12-03 17:00:00,68212.92873,26,2623.574182,0.98,0.1,storm_107,0.646,1,0,0,0,0
107,"FC = 0.98, SFT = 0.1",2017-12-05 18:00:00,2017-12-06 19:00:00,61854.71217,26,2379.027391,0.98,0.1,storm_108,0.584,1,0,0,0,0
108,"FC = 0.98, SFT = 0.1",2017-12-17 16:00:00,2017-12-18 14:00:00,61467.8307,23,2672.514378,0.98,0.1,storm_109,0.639,1,0,0,0,0
109,"FC = 0.98, SFT = 0.1",2017-12-22 23:00:00,2017-12-23 11:00:00,9972.340218,13,767.1030937,0.98,0.1,storm_110,0.06,0,0,0,0,0
110,"FC = 0.98, SFT = 0.1",2017-12-30 06:00:00,2017-12-30 22:00:00,15367.02701,17,903.9427652,0.98,0.1,storm_111,0.076,0,0,0,0,0
111,"FC = 0.98, SFT = 0.1",2018-01-09 02:00:00,2018-01-10 09:00:00,86713.49786,32,2709.796808,0.98,0.1,storm_112,0.987,1,0,0,0,0
112,"FC = 0.98, SFT = 0.1",2018-02-19 17:00:00,2018-02-21 00:00:00,77637.60699,32,2426.175218,0.98,0.1,storm_113,0.629,1,0,0,0,0
113,"FC = 0.98, SFT = 0.1",2018-02-25 15:00:00,2018-02-27 17:00:00,221108.6382,51,4335.463495,0.98,0.1,storm_114,1.671,1,0,0,0,1
114,"FC = 0.98, SFT = 0.1",2018-03-05 22:00:00,2018-03-07 02:00:00,23036.93325,29,794.3770087,0.98,0.1,storm_115,0.318,0,0,0,0,0
115,"FC = 0.98, SFT = 0.1",2018-03-21 10:00:00,2018-03-22 22:00:00,22687.04786,37,613.1634557,0.98,0.1,storm_116,0.174,0,0,0,0,0
